Year,Title,Rating (1-10),Watch Again (Yes/No)
1932,Freaks,,
1937,Snow White And The Seven Dwarfs,,
1939,The Wizard of Oz,5,Yes,
1940,Fantasia,,
1940,Pinocchio,,
1942,Casablanca,,
1942,Cat People,,
1946,La Belle et la Bete,,
1954,1984 (BBC),,
1958,Vertigo,,
1960,Swiss Family Robinson,,
1961,101 Dalmations,,
1962,Dr. No,,
1963,From Russia with Love,,
1964,Goldfinger,,
1964,The Last Man on Earth,,
1965,Red Beard,,
1965,Thunderball,,
1966,Batman,,
1966,How The Grinch Stole Christmas,,
1967,Casino Royale,,
1967,Mad Monster Party,,
1967,You Only Live Twice,,
1968,Planet Of The Apes,,
1969,On Her Majesty's Secret Service,,
1970,Beneath The Planet of The Apes,,
1971,A Clockwork Orange,,
1971,Diamonds Are Forever,,
1971,Escape From The Planet of The Apes,,
1971,The Omega Man,,
1971,THX 1138,,
1971,Willy Wonka & the Chocolate Factory,,
1972,Solaris,,
1973,Fantastic Planet,,
1973,Live and Let Die,,
1973,Papillon,,
1973,The Wicker Man,,
1974,Blazing Saddles,,
1974,The Man with the Golden Gun,,
1975,Coonskin,,
1975,Death Race 2000,,
1976,Taxi Driver,,
1976,The Man Who Fell to Earth,,
1977,Star Wars Episode IV - A New Hope,,
1977,Suspiria,,
1977,The Rescuers,,
1977,The Spy Who Loved Me,,
1978,Grease,,
1978,Superman,,
1978,The Deer Hunter,,
1978,The Lord Of The Rings,,
1978,Up in Smoke,,
1979,Alien,,
1979,Moonraker,,
1979,Stalker,,
1979,The Jerk,,
1979,The Warriors,,
1980,Cheech and Chong's Next Movie,,
1980,Friday the 13th,,
1980,Star Wars Episode V - The Empire Strikes Back,,
1980,Superman II,,
1980,The Stunt Man,,
1981,American Pop,,
1981,For Your Eyes Only,,
1981,Mad Max 2 - The Road Warrior,,
1981,The Evil Dead,,
1981,The Fox and the Hound,,
1981,Wir Kinder vom Bahnhof Zoo,,
1982,Fast Times at Ridgemont High,,
1982,Gandhi,,
1983,Never Say Never Again,,
1983,Octopussy,,
1983,Return Of The Jedi,,
1983,Strange Brew,,
1983,Style Wars,,
1983,Superman III,,
1983,Trading Places,,
1983,Videodrome,,
1983,War Games,,
1984,Children of the Corn,,
1984,Dune,,
1984,Gremlins,,
1984,Terminator,,
1984,The Karate Kid,,
1984,The Last Starfighter,,
1984,The NeverEnding Story,,
1985,A View to a Kill,,
1985,Back to the Future,,
1985,Commando,,
1985,The Goonies,,
1985,The Last Dragon,,
1986,Labyrinth,,
1986,The Great Mouse Detective,,
1986,The Mosquito Coast,,
1986,Top Gun,,
1987,Full Metal Jacket,,
1987,Gandahar,,
1987,Planes Trains and Automobiles,,
1987,Spaceballs,,
1987,The Brave Little Toaster,,
1987,The Living Daylights,,
1987,The Princess Bride,,
1987,The Running Man,,
1987,Wall Street,,
1988,Beetlejuice,,
1988,Bloodsport,,
1988,Dead Ringers,,
1988,Die Hard,,
1988,Powaqqatsi,,
1989,Der Siebente Kontinent,,
1989,Kickboxer,,
1989,Licence to Kill,,
